title,price,area_info
"2 BHK Apartment for Sale in Fortune Divine City 2, Misrod Bhopal","₹
25.5 Lac
₹3,188 per sqft","SUPER AREA
800 sqft
STATUS
Ready to Move
FLOOR
3 out of 6"
Shop for Sale in Danish Nagar Bhopal,"₹
55 Lac
₹12,222 per sqft","CARPET AREA
450 sqft
STATUS
Ready to Move
FLOOR
2 out of 3"
4 BHK Villa for Sale in New Minal Residency Bhopal,"₹
1.55 Cr
₹5,536 per sqft","SUPER AREA
2800 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Awadhpuri Bhopal,"₹
75 Lac
₹5,000 per sqft","PLOT AREA
1500 sqft
DIMENSIONS (L X B)
50 X 30
OWNERSHIP
Freehold"
3 BHK Apartment for Sale in Kolar Bhopal,"₹
28 Lac","CARPET AREA
1000 sqft
STATUS
Ready to Move
FLOOR
2 out of 4"
"3 BHK Apartment for Sale in DK 24 Carat, Bawadiya Kalan Bhopal","₹
1.75 Cr
₹12,672 per sqft","SUPER AREA
1381 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Neelbad Bhopal,"₹
30 Lac
₹600 per sqft","PLOT AREA
5000 sqft
DIMENSIONS (L X B)
100 X 50
TRANSACTION
Resale"
Plot/Land for Sale in Sehore Road Bhopal,"₹
13 Lac
₹1,300 per sqft","PLOT AREA
1000 sqft
TRANSACTION
Resale
FLOORS ALLOWED FOR CONSTRUCTION
4"
"3 BHK Villa for Sale in CI Grand, Kolar Road Bhopal","₹
1.14 Cr
₹6,316 per sqft","SUPER AREA
1805 sqft
UNDER CONSTRUCTION
Poss. by Oct '26
TRANSACTION
New Property"
Showroom for Sale in E-7 Bhopal,"₹
8 Lac
₹105 per sqft","SUPER AREA
7600 sqft
STATUS
Ready to Move
FLOOR
Ground out of 3"
"3 BHK Apartment for Sale in Urban River Urban Heights, Salaiya Bhopal","₹
80 Lac
₹3,874 per sqft","SUPER AREA
2065 sqft
UNDER CONSTRUCTION
Poss. by Apr '26
TRANSACTION
New Property"
"3 BHK Villa for Sale in Hill View, Kolar Road Bhopal","₹
1.85 Cr
₹8,043 per sqft","SUPER AREA
2300 sqft
TRANSACTION
New Property
FURNISHING
Unfurnished"
"4 BHK Villa for Sale in Rishi Coral Wood Bungalows, Hoshangabad Road Bhopal","₹
1.95 Cr
₹6,610 per sqft","SUPER AREA
2950 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Bagmugaliya Bhopal,"₹
1.05 Cr
₹6,600 per sqft","PLOT AREA
1597 sqft
DIMENSIONS (L X B)
34.72 X 46
OWNERSHIP
Freehold"
4 BHK Villa for Sale in Salaiya Bhopal,"₹
1 Cr
₹5,556 per sqft","CARPET AREA
1500 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
